game,league,date,slug,g1_winner,g2_winner,series_winner,struct,prematch_price_available
DOTA,DreamLeague Group A,2026-05-13,dota2-aur1-flc-2026-05-13,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-13,dota2-heroic2-vp-2026-05-13,Virtus.pro,Virtus.pro,Virtus.pro,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-ngx-playti-2026-05-14,PlayTime,PlayTime,PlayTime,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-pari-bb4-2026-05-14,PARIVISION,BetBoom Team,PARIVISION,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-navi-rnx-2026-05-14,REKONIX,Natus Vincere,Natus Vincere,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-navi-bb4-2026-05-14,Natus Vincere,Natus Vincere,Natus Vincere,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-xtreme-tundra-2026-05-14,Xtreme Gaming,Xtreme Gaming,Xtreme Gaming,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-14,dota2-heroic2-flc-2026-05-14,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-ngx-tundra-2026-05-14,Tundra Esports,Nigma Galaxy,Tundra Esports,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-pari-xtreme-2026-05-14,Xtreme Gaming,PARIVISION,PARIVISION,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-14,dota2-vg-vp-2026-05-14,Virtus.pro,Virtus.pro,Virtus.pro,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-14,dota2-aur1-ts8-2026-05-14,Team Spirit,Team Spirit,Team Spirit,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-14,dota2-gl-liquid-2026-05-14,Team Liquid,Team Liquid,Team Liquid,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-14,dota2-playti-rnx-2026-05-14,PlayTime,PlayTime,PlayTime,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Playoffs,2026-05-13,dota2-glyph-grind-2026-05-13,Grind Back,GLYPH,Grind Back,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-aur1-heroic2-2026-05-15,Aurora,Aurora,Aurora,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-liquid-flc-2026-05-15,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-15,dota2-playti-bb4-2026-05-15,PlayTime,BetBoom Team,BetBoom Team,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-vg-heroic2-2026-05-15,Vici Gaming,Vici Gaming,Vici Gaming,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-15,dota2-ngx-xtreme-2026-05-15,Nigma Galaxy,Nigma Galaxy,Nigma Galaxy,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-aur1-gl-2026-05-15,Aurora,Aurora,Aurora,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-vp-ts8-2026-05-15,Team Spirit,Team Spirit,Team Spirit,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-gl-ts8-2026-05-15,Team Spirit,Team Spirit,Team Spirit,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-vp-liquid-2026-05-15,Team Liquid,Team Liquid,Team Liquid,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-15,dota2-rnx-tundra-2026-05-15,REKONIX,REKONIX,REKONIX,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-15,dota2-vg-flc-2026-05-15,Team Falcons,Team Falcons,Team Falcons,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-15,dota2-pari-navi-2026-05-15,PARIVISION,PARIVISION,PARIVISION,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-16,dota2-tundra-bb4-2026-05-16,Tundra Esports,BetBoom Team,Tundra Esports,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-16,dota2-pari-ngx-2026-05-16,PARIVISION,PARIVISION,PARIVISION,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-16,dota2-playti-navi-2026-05-16,Natus Vincere,Natus Vincere,Natus Vincere,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-16,dota2-rnx-xtreme-2026-05-16,Xtreme Gaming,Xtreme Gaming,Xtreme Gaming,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-16,dota2-flc-ts8-2026-05-16,Team Spirit,Team Falcons,Team Falcons,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-16,dota2-vp-gl-2026-05-16,Virtus.pro,GamerLegion,GamerLegion,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-16,dota2-liquid-heroic2-2026-05-16,Team Liquid,Team Liquid,Team Liquid,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group A,2026-05-16,dota2-aur1-vg-2026-05-16,Aurora,Vici Gaming,Aurora,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-16,dota2-bb4-xtreme-2026-05-16,BetBoom Team,BetBoom Team,BetBoom Team,2:0 横扫,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-16,dota2-tundra-navi-2026-05-16,Natus Vincere,Tundra Esports,Natus Vincere,2:1 打满,否（无赛前价存档）
DOTA,DreamLeague Group B,2026-05-16,dota2-pari-playti-2026-05-16,PlayTime,PARIVISION,PlayTime,2:1 打满,否（无赛前价存档）
